id;Nome;Tipo;Valor;Categoria;Conta;Data;Obs;desconsiderar;Parcela;Data origem;Data Criacao;TAG
159;Casas bahia;Despesa;-51,67;Compras;PDA;10/04/2023 00:00;;False;2.0;10/03/2023;23/04/2023 15:57;
133;uber;Despesa;-9,48;Transporte;PDA;13/04/2023 00:00;;False;;;23/04/2023 15:33;
134;transporte;Despesa;-100,0;Transporte;PDA;13/04/2023 00:00;;False;;;23/04/2023 15:33;
162;Tim;Despesa;-59,21;TV,Internet,Telefone;Itaú;13/04/2023 00:00;;False;;;23/04/2023 15:59;
163;nath;Despesa;-500,0;Educação;Itaú;13/04/2023 00:00;;False;;;23/04/2023 16:00;
164;caixinha;Despesa;-50,0;Viagem;Itaú;13/04/2023 00:00;;False;;;23/04/2023 16:01;
135;Sagrado bar;Despesa;-67,5;Lazer;PDA;14/04/2023 00:00;;False;;;23/04/2023 15:34;
136;Luciano henrique;Despesa;-10,0;Compras;PDA;15/04/2023 00:00;;False;;;23/04/2023 15:34;
137;mercpago;Despesa;-20,0;Compras;PDA;15/04/2023 00:00;;False;;;23/04/2023 15:35;
138;lava jato;Despesa;-55,0;Presentes;PDA;15/04/2023 00:00;;False;;;23/04/2023 15:35;
139;star art;Despesa;-35,0;Restaurante;PDA;15/04/2023 00:00;;False;;;23/04/2023 15:35;
234;Youcom;Despesa;-49,95;Compras;PDA;15/04/2023 00:00;;False;1.0;15/04/2023;26/05/2023 15:48;
140;pag zig;Despesa;-90,6;Lazer;PDA;16/04/2023 00:00;Rolezao em campinas;False;;;23/04/2023 15:37;
141;my sushi;Despesa;-72,9;Restaurante;PDA;17/04/2023 00:00;;False;;;23/04/2023 15:38;
6;IPVA;Despesa;-414,27;Serviços;Itaú;17/04/2023 00:00;;False;3.0;17/02/2023;;
142;click bus;Despesa;-49,54;Transporte;PDA;18/04/2023 00:00;;False;;;23/04/2023 15:39;
143;uber;Despesa;-9,44;Transporte;PDA;18/04/2023 00:00;;False;;;23/04/2023 15:39;
144;uber;Despesa;-19,96;Transporte;PDA;19/04/2023 00:00;volta;False;;;23/04/2023 15:40;
145;uber;Despesa;-46,86;Transporte;PDA;19/04/2023 00:00;;False;;;23/04/2023 15:41;
146;cafe;Despesa;-11,6;Restaurante;PDA;19/04/2023 00:00;;False;;;23/04/2023 15:42;
147;bauduco;Despesa;-11,6;Restaurante;PDA;19/04/2023 00:00;;False;;;23/04/2023 15:43;
